Reading_Key,Timestamp,Device_ID,Home_ID,Watts,Volts,Amps
1,2024-01-01 00:00:00,D008,H005,3.3,227.5,0.015
2,2024-01-01 00:01:00,D003,H003,3.06,227.9,0.013
3,2024-01-01 00:02:00,D002,H006,2.56,224.42,0.011
4,2024-01-01 00:03:00,D006,H007,6.1,225.63,0.027
5,2024-01-01 00:04:00,D008,H006,3.57,233.84,0.015
6,2024-01-01 00:05:00,D004,H005,5.11,238.21,0.021
7,2024-01-01 00:06:00,D010,H006,2.3,236.74,0.01
8,2024-01-01 00:07:00,D007,H003,4.37,235.22,0.019
9,2024-01-01 00:08:00,D005,H007,9.72,226.0,0.043
10,2024-01-01 00:09:00,D004,H010,7.72,231.81,0.033
11,2024-01-01 00:10:00,D004,H005,4.14,227.97,0.018
12,2024-01-01 00:11:00,D008,H005,10.23,231.09,0.044
13,2024-01-01 00:12:00,D004,H005,6.64,226.79,0.029
14,2024-01-01 00:13:00,D001,H003,5.35,227.31,0.024
15,2024-01-01 00:14:00,D004,H003,4.39,227.67,0.019
16,2024-01-01 00:15:00,D008,H005,7.4,229.88,0.032
17,2024-01-01 00:16:00,D002,H009,23.02,231.33,0.1
18,2024-01-01 00:17:00,D002,H005,11.97,229.68,0.052
19,2024-01-01 00:18:00,D005,H010,10.47,228.43,0.046
20,2024-01-01 00:19:00,D005,H006,6.82,224.54,0.03
21,2024-01-01 00:20:00,D006,H002,2.34,229.62,0.01
22,2024-01-01 00:21:00,D008,H002,11.73,229.79,0.051
23,2024-01-01 00:22:00,D008,H009,11.77,227.84,0.052
24,2024-01-01 00:23:00,D006,H004,5.93,220.56,0.027
25,2024-01-01 00:24:00,D008,H004,6.67,229.19,0.029
26,2024-01-01 00:25:00,D004,H008,6.39,225.9,0.028
27,2024-01-01 00:26:00,D004,H006,4.86,224.43,0.022
28,2024-01-01 00:27:00,D002,H004,10.0,224.8,0.044
29,2024-01-01 00:28:00,D003,H004,1.89,228.25,0.008
30,2024-01-01 00:29:00,D006,H003,5.33,226.96,0.023
31,2024-01-01 00:30:00,D001,H004,166.98,231.54,0.721
32,2024-01-01 00:31:00,D004,H005,1.2,228.18,0.005
33,2024-01-01 00:32:00,D004,H002,3.12,234.24,0.013
34,2024-01-01 00:33:00,D005,H007,7.87,225.87,0.035
35,2024-01-01 00:34:00,D004,H008,7.91,229.22,0.034
36,2024-01-01 00:35:00,D003,H004,3.76,227.96,0.017
37,2024-01-01 00:36:00,D004,H007,2.87,230.13,0.012
38,2024-01-01 00:37:00,D009,H008,12.33,222.46,0.055
39,2024-01-01 00:38:00,D009,H009,8.51,232.65,0.037
40,2024-01-01 00:39:00,D005,H001,10.15,237.0,0.043
41,2024-01-01 00:40:00,D006,H005,7.37,227.6,0.032
42,2024-01-01 00:41:00,D001,H002,7.11,220.68,0.032
43,2024-01-01 00:42:00,D003,H006,1.99,230.69,0.009
44,2024-01-01 00:43:00,D004,H010,6.54,234.87,0.028
45,2024-01-01 00:44:00,D009,H007,11.47,226.37,0.051
46,2024-01-01 00:45:00,D002,H004,5.54,232.68,0.024
